ID	symbol.x	lfc.1484	p.1484	ENSID	symbol.y	lfc.2450	p.2450
100009600	Zglp1	0	1	ENSMUSG00000079681	Zglp1	0	1
100009609	Vmn2r65	0	1	ENSMUSG00000066372	Vmn2r65	0	1
100009614	Gm10024	0	1	ENSMUSG00000094012	Gm10024	0	1
100012	Oog3	0	1	ENSMUSG00000050810	Oog3	0	1
100017	Ldlrap1	-0.230853365334456	0.405266806542716	ENSMUSG00000037295	Ldlrap1	0.0518024693850274	0.902772138427682
100019	Mdn1	0.799341304031299	0.0186881917694144	ENSMUSG00000058006	Mdn1	-0.169084138912065	0.904558707499134
100033459	Pydc3	-0.5798044167531	0.67622037626728	ENSMUSG00000066677	Ifi208	0	1
100034251	Wfdc17	1.6746415130766	0.124477731751101	ENSMUSG00000069792	Wfdc17	1.1810610133931	0.184843693625417
100034361	Mfap1b	-0.107242839544337	0.797655514711115	ENSMUSG00000048222	Mfap1b	-0.189177105752914	0.693525551761239
100034363	Tmsb15b2	-0.0545352263340922	0.917079748308632	ENSMUSG00000089996	Tmsb15b2	0	1
100034684	BC100530	0	1	ENSMUSG00000071561	BC100530	0	1
100034729	Gm15114	0	1	ENSMUSG00000079395	Gm15114	0	1
100036518	Vmn1r223	0	1	ENSMUSG00000069280	Vmn1r223	0	1
100036521	Gm16039	-0.255870090239431	0.249395919005798	ENSMUSG00000089862	Umad1	-0.24502902575247	0.639576823189188
100037258	Dnajc3	0.110369641091061	0.552092514341966	ENSMUSG00000022136	Dnajc3	0.160331112719608	0.808126124624988
100037278	Fam129c	0.019196253681822	0.979745697105692	ENSMUSG00000043243	Fam129c	0.0542635834530899	0.944756530929233
100037282	Rsph3b	-0.0295959881094578	0.969277364887495	ENSMUSG00000023806	Rsph3b	0.17797875591053	0.886832474513641
100037283	Rnaset2a	-0.206067029036921	0.596642162804633	ENSMUSG00000095687	Rnaset2a	-0.133337548228087	0.859448844250736
100038347	Fam174b	0	1	ENSMUSG00000078670	Fam174b	0.754090046278476	0.542394130984743
100038417	Spink13	0	1	ENSMUSG00000073551	Spink13	0	1
100038489	Apela	0	1	ENSMUSG00000079042	Apela	0	1
100038538	Gm10767	-0.180013914104398	0.874190656706606	ENSMUSG00000074826	Gm10767	0.0846310761838611	0.949299689079841
100038570	Gm11744	0	1	ENSMUSG00000075410	Prcd	0	1
100038657	7420461P10Rik	0	1	ENSMUSG00000091060	7420461P10Rik	0	1
100038725	Cep85l	-0.10502073803692	0.796777986704007	ENSMUSG00000038594	Cep85l	-0.698160073532987	0.277258073249607
100038847	Gm10406	0	1	ENSMUSG00000093985	Gm10406	0	1
100038854	BC117090	0	1	ENSMUSG00000079594	BC117090	0	1
100038859	Olfr55	0	1	ENSMUSG00000094891	Olfr55	0	1
100038860	Olfr239	0	1	ENSMUSG00000093884	Olfr239	0	1
100038862	Btnl1	0	1	ENSMUSG00000062638	Btnl1	0	1
100038882	Isg15	2.17995701425384	5.32374740635567e-05	ENSMUSG00000035692	Isg15	0.969412110432949	0.349015562689882
