geneSet	ID	symbol
Interferon-Related	327959	Xaf1
Interferon-Related	20847	Stat2
Interferon-Related	672511	Rnf213
Interferon-Related	67775	Rtp4
Interferon-Related	24110	Usp18
Interferon-Related	231655	Oasl1
Interferon-Related	15959	Ifit3
Interferon-Related	58185	Rsad2
Interferon-Related	20684	Sp100
Interferon-Related	434341	Nlrc5
Interferon-Related	17857	Mx1
Interferon-Related	623121	Pydc4
Interferon-Related	15958	Ifit2
Interferon-Related	15951	Ifi204
Interferon-Related	236312	Pyhin1
Interferon-Related	246728	Oas2
Interferon-Related	80861	Dhx58
Interferon-Related	76933	Ifi27l2a
Interferon-Related	99899	Ifi44
Interferon-Related	57444	Isg20
Interferon-Related	100038882	Isg15
Interferon-Related	15957	Ifit1
Interferon-Related	22169	Cmpk2
Interferon-Related	246727	Oas3
Interferon-Related	229003	Helz2
Interferon-Related	54123	Irf7
Interferon-Related	23962	Oasl2
Interferon-Related	58203	Zbp1
Interferon-Related	12212	Chic1
Interferon-Related	20449	St8sia1
Interferon-Related	23797	Akt3
LPS-Related	66943	Pqlc1
LPS-Related	67389	Fam132a
LPS-Related	246746	Cd300lf
LPS-Related	14538	Gcnt2
LPS-Related	320782	Tmem154
LPS-Related	12775	Ccr7
LPS-Related	108078	Olr1
LPS-Related	12266	C3
LPS-Related	14191	Fgr
LPS-Related	16181	Il1rn
LPS-Related	16365	Irg1
LPS-Related	20304	Ccl5
LPS-Related	75767	Rab11fip1
LPS-Related	107503	Atf5
LPS-Related	16491	Kcna3
LPS-Related	11501	Adam8
LPS-Related	18793	Plaur
LPS-Related	12982	Csf2ra
LPS-Related	16402	Itga5
LPS-Related	18030	Nfil3
LPS-Related	16004	Igf2r
LPS-Related	382062	AB124611
LPS-Related	27053	Asns
LPS-Related	380924	Olfm4
LPS-Related	21881	Tkt
LPS-Related	12925	Crip1
LPS-Related	227753	Gsn
LPS-Related	56878	Rbms1
LPS-Related	14744	Gpr65
LPS-Related	226691	AI607873
LPS-Related	327978	Slfn5
LPS-Related	50527	Ero1l
LPS-Related	13058	Cybb
LPS-Related	14727	Gp49a
LPS-Related	14728	Lilrb4
LPS-Related	11658	Alcam
LPS-Related	16401	Itga4
LPS-Related	100034251	Wfdc17
LPS-Related	22436	Xdh
LPS-Related	80876	Ifitm2
LPS-Related	18301	Fxyd5
LPS-Related	217304	Cd300lb
LPS-Related	69189	Mcemp1
LPS-Related	12505	Cd44
LPS-Related	29875	Iqgap1
LPS-Related	12257	Tspo
LPS-Related	64380	Ms4a4c
LPS-Related	66141	Ifitm3
LPS-Related	12070	Ngfrap1
LPS-Related	15254	Hint1
LPS-Related	22329	Vcam1
LPS-Related	68949	1500012F01Rik
LPS-Related	74748	Slamf8
LPS-Related	231805	Pilra
LPS-Related	55985	Cxcl13
LPS-Related	12292	Cacna1s
LPS-Related	68027	Tmem178
LPS-Related	16011	Igfbp5
LPS-Related	320292	Rasgef1b
LPS-Related	16905	Lmna
LPS-Related	22146	Tuba1c
LPS-Related	12457	Ccrn4l
LPS-Related	26570	Slc7a11
LPS-Related	17768	Mthfd2
LPS-Related	11987	Slc7a1
LPS-Related	20514	Slc1a5
LPS-Related	22350	Ezr
LPS-Related	13660	Ehd1
LPS-Related	20310	Cxcl2
LPS-Related	17691	Sik1
LPS-Related	21928	Tnfaip2
LPS-Related	67784	Plxnd1
LPS-Related	67951	Tubb6
LPS-Related	21939	Cd40
LPS-Related	56489	Ikbke
LPS-Related	14964	H2-D1
LPS-Related	17164	Mapkapk2
LPS-Related	29876	Clic4
LPS-Related	71648	Optn
LPS-Related	15945	Cxcl10
LPS-Related	20556	Slfn2
Neurodegeneration-Related	12490	Cd34
Neurodegeneration-Related	18186	Nrp1
Neurodegeneration-Related	18792	Plau
Neurodegeneration-Related	54607	Socs6
Neurodegeneration-Related	13039	Ctsl
Neurodegeneration-Related	50706	Postn
Neurodegeneration-Related	58250	Chst11
Neurodegeneration-Related	66889	Rnf128
Neurodegeneration-Related	20652	Soat1
Neurodegeneration-Related	320528	Vps13c
Neurodegeneration-Related	237542	Osbpl8
Neurodegeneration-Related	432486	Gnptab
